브랜드,소분류,상품명,정가,할인가
보나쥬르,클렌징,그린티 폼 클렌징 150ml,"10,500"," 8,500"
보나쥬르,클렌징,가슬 폼 클렌저 150ml,"11,000"," 9,000"
보나쥬르,필링젤,그린티 AHA 필링젤 150ml,"9,800"," 8,000"
보나쥬르,클렌징,제주밀크 포밍 클렌저 150ml,"18,500"," 16,000"
보나쥬르,클렌징,그린티 딥 클렌징 워터 200ml,"12,000"," 9,800"
보나쥬르,클렌징,멜로우 마일드 밀크 클렌저 200ml,"27,000"," 16,000"
보나쥬르,클렌징,라이스브랜 90 클렌징 오일 200ml,"31,000"," 18,000"
보나쥬르,클렌징,피지 클렌징 젤 100ml,"18,000"," 14,500"
보나쥬르,미스트,노세범 뽀송 미스트 50ml,"20,000"," 14,000"
보나쥬르,크림,그린티 워터밤 토너 205ml,"24,000"," 16,000"
보나쥬르,크림,[착한수분세트] 그린티 워터밤 토너 + 수분크림,"43,000"," 32,000"
보나쥬르,토너,프로폴리스 에너지 토너 205ml,"27,000"," 18,000"
보나쥬르,세럼,[수분장벽세트] 프로폴리스 토너 + 세럼,"49,500"," 37,500"
보나쥬르,토너,가지 BHA 토너 205ml,"25,000"," 18,000"
보나쥬르,크림,[수부지세트] 가지 BHA 토너 + 수분크림,"50,000"," 36,000"
보나쥬르,스킨,아크 그린티 스킨 150ml,"7,500",
보나쥬르,로션,아크 그린티 로션 150ml,"7,500",
보나쥬르,스킨케어,아크 그린티 스킨&로션,"15,000",
보나쥬르,수분세트,지성 세트 4종 (성난피부세트),"48,000"," 40,200"
보나쥬르,토너,센텔라 리페어 스킨 토너 150ml,"26,000"," 17,000"
보나쥬르,로션,센텔라 리페어 로션 150ml,"26,000"," 17,000"
보나쥬르,스킨케어,센텔라 리페어 스킨&로션,"52,000"," 34,000"
보나쥬르,수분세트,지성 세트 4종 (손상케어세트),"75,500"," 66,800"
보나쥬르,수분세트,[흔적세트] 시카 리페어 4종 세트,"131,000"," 89,300"
보나쥬르,올인원,맨 올인원 120ml,"30,000"," 27,000"
보나쥬르,크림,펩타이드 워터밤 100ml,"19,000"," 16,000"
보나쥬르,크림,그린티 워터밤 100ml,"19,000"," 16,000"
보나쥬르,크림,가지 BHA 수분 크림 50ml,"25,000"," 18,000"
보나쥬르,크림,익스트림 시카크림 50ml,"48,000"," 32,000"
보나쥬르,크림,초록 비타민 크림 50ml,"29,200"," 21,800"
보나쥬르,크림,부활초 숙면크림 80ml,"35,700"," 26,700"
보나쥬르,크림,윤광 진정 크림 50ml,"38,000"," 27,000"
보나쥬르,크림,EGF 영양 크림 50ml,"187,000"," 61,700"
보나쥬르,에센스,EGF 퍼스트 에센스 130ml,"54,800"," 43,000"
보나쥬르,크림,[고보습고영양세트] EGF 에센스 + 크림,"241,800"," 99,500"
보나쥬르,크림,[5% OFF][프리미엄세트] EGF 에센스 + 크림 + 링클크림 + 로즈스템셀,"319,100"," 158,400"
보나쥬르,세럼,초록 비타민 세럼 35ml,"35,700"," 28,000"
보나쥬르,크림,[잡티완화세트] 초록 비타민 세럼 + 크림,"64,900"," 49,800"
보나쥬르,에센스,부활초 에센스 50ml,"37,000"," 27,700"
