브랜드명,중분류명,소분류명,상품명,정가,할인가
멜릭서,기초 화장품,기초 화장용 스킨,비건 밸런싱 토너 (290ml),"36,000","23,000"
멜릭서,기능성 화장품,기능성 화장품 세트,비건 하이드레이션 키트,"86,000","70,000"
멜릭서,선 제품,선크림,비건 에어핏 선스크린,"30,000", 
멜릭서,기능성 화장품,기능성 화장품 세트,비건 스타터 키트,"66,000","54,000"
멜릭서,기초 화장품,기초 화장용 크림,비건 릴리프 페이셜 크림,"48,000", 
멜릭서,색조 메이크업 립,색조 메이크업 립밤,비건 립 버터 트리오,"36,000","22,000"
멜릭서,색조 메이크업 립,색조 메이크업 립밤,비건 립버터 아가베 듀오,"24,000","15,800"
멜릭서,기초 화장품,기초 화장용 스킨,비건 밸런싱 토너,"18,000","12,000"
멜릭서,기초 화장품,기초 화장용 에센스,비건 뱀부 세럼,"38,000", 
멜릭서,클렌징 용품,클렌징 워터/젤,비건 허베이셔스 젤 클렌저,"26,000", 
멜릭서,클렌징 용품,클렌징 워터/젤,비건 클린 키트,"44,000","34,000"
멜릭서,색조 메이크업 립,색조 메이크업 립밤,비건 립 버터,"12,000","7,900"
멜릭서,클렌징 용품,클렌징 오일,비건 스쿠알란 페이스 오일,"38,000", 
보나쥬르,클렌징 용품,클렌징 폼,그린티 폼 클렌징 150ml,"10,500"," 8,500"
보나쥬르,클렌징 용품,클렌징 폼,가슬 폼 클렌저 150ml,"11,000"," 9,000"
보나쥬르,스킨 케어,스크럽/필링크림,그린티 AHA 필링젤 150ml,"9,800"," 8,000"
보나쥬르,클렌징 용품,클렌징 폼,제주밀크 포밍 클렌저 150ml,"18,500"," 16,000"
보나쥬르,클렌징 용품,클렌징 워터/젤,그린티 딥 클렌징 워터 200ml,"12,000"," 9,800"
보나쥬르,클렌징 용품,클렌징 폼,멜로우 마일드 밀크 클렌저 200ml,"27,000"," 16,000"
보나쥬르,기초 화장품,기초 화장용 오일/앰플,라이스브랜 90 클렌징 오일 200ml,"31,000"," 18,000"
보나쥬르,클렌징 용품,클렌징 워터/젤,피지 클렌징 젤 100ml,"18,000"," 14,500"
