브랜드명,중분류명,소분류명,상품명,정가,할인가
디어달리아,색조 메이크업 립,색조 메이크업 립스틱,Lip Paradise Intense Satin Lipstick,$34, 
디어달리아,색조 메이크업 립,색조 메이크업 립스틱,Lip Paradise Effortless Matte Lipstick,$34, 
디어달리아,색조 메이크업 립,색조 메이크업 립틴트,Lip Paradise Sheer Dew Tinted Lipstick,$34, 
디어달리아,색조 메이크업 립,색조 메이크업 립스틱,Allure Shine Lustrous Lip Plumper,$34, 
디어달리아,색조 메이크업 립,색조 메이크업 립틴트,Paradise Dream Velvet Lip Mousse,$31, 
디어달리아,색조 메이크업 립,색조 메이크업 립틴트,Sensuous Matte Lip Suit,$31, 
디어달리아,색조 메이크업 립,색조 메이크업 립틴트,Petal Touch Plumping Lip Velour,$29, 
디어달리아,색조 메이크업 립,색조 메이크업 립틴트,Satin Glow Lip Stain,$31, 
디어달리아,베이스 메이크업 제품,베이스 메이크업용 파우더팩트,Skin Paradise Soft Velvet Setting Powder Compact,$42, 
디어달리아,베이스 메이크업 제품,베이스 메이크업용 파운데이션,Skin Paradise Sheer Silk Foundation,$46, 
디어달리아,베이스 메이크업 제품,베이스 메이크업용 컨실러,Skin Paradise Flawless Fit Expert Concealer,$34, 
디어달리아,베이스 메이크업 제품,베이스 메이크업용 파운데이션,Skin Paradise Sheer Silk Foundation Shade Finder Kit,$30, 
디어달리아,베이스 메이크업 제품,베이스 메이크업용 컨실러,Paradise Dual Palette Concealer Duo,$32, 
디어달리아,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,Petal Glow Blush,$30, 
디어달리아,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,Endless Radiance Bronzer,$42, 
디어달리아,색조 메이크업 기타,색조 메이크업 쉐딩/하이라이터,Endless Glow Illuminator,$42, 
디어달리아,색조 메이크업 아이,색조 메이크업 아이섀도우,Garden of Light Palette,$58, 
디어달리아,색조 메이크업 아이,색조 메이크업 아이섀도우,Secret Garden Palette,$62, 
디어달리아,색조 메이크업 아이,색조 메이크업 아이섀도우,Timeless Bloom Collection Palette,$70, 
디어달리아,색조 메이크업 아이,색조 메이크업 아이섀도우,Mesmerizing Moment Collection Palette,$58, 
디어달리아,색조 메이크업 아이,색조 메이크업 아이섀도우,Paradise Dual Palette,$32, 
디어달리아,색조 메이크업 아이,색조 메이크업 아이섀도우,Paradise Shine Eye Sequins,$31, 
디어달리아,색조 메이크업 아이,색조 메이크업 아이라이너,Paradise Dream Precision Pro Liquid Eyeliner,$32, 
디어달리아,색조 메이크업 아이,색조 메이크업 마스카라,Paradise Dream Volume & Long Lash Mascara,$36, 
