브랜드,소분류,상품명,정가,할인가
디어달리아,Lip,Lip Paradise Intense Satin Lipstick,$34, 
디어달리아,Lip,Lip Paradise Effortless Matte Lipstick,$34, 
디어달리아,Lip,Allure Shine Lustrous Lip Plumper,$34, 
디어달리아,Lip,Paradise Dream Velvet Lip Mousse,$31, 
디어달리아,Lip,Sensuous Matte Lip Suit,$31, 
디어달리아,Skin,Skin Paradise Soft Velvet Setting Powder Compact,$42, 
디어달리아,Skin,Skin Paradise Sheer Silk Foundation,$46, 
디어달리아,Skin,Skin Paradise Flawless Fit Expert Concealer,$34, 
디어달리아,Skin,Skin Paradise Sheer Silk Foundation Shade Finder Kit,$30, 
디어달리아,Palette,Paradise Dual Palette Concealer Duo,$32, 
디어달리아,Palette,Timeless Bloom Collection Palette,$70, 
디어달리아,Palette,Mesmerizing Moment Collection Palette,$58, 
디어달리아,Palette,Paradise Dual Palette,$32, 
디어달리아,Eye,Paradise Shine Eye Sequins,$31, 
디어달리아,Liquid,Paradise Dream Precision Pro Liquid Eyeliner,$32, 
디어달리아,Mascara,Paradise Dream Volume & Long Lash Mascara,$36, 
